path,name,id,latitude,longitude
CIDADE DE QUELIMANE,CS Irregone,Jd1BBqtXai5,,
CIDADE DE QUELIMANE,CS Chabeco,quPE8YigS1Y,-17.8657,36.88754
CIDADE DE QUELIMANE,CS Namuinho,Oq6oTAkCwfb,,
CIDADE DE QUELIMANE,Privado Bons Sinais	,ykXt6Nt0ZiJ,,
CIDADE DE QUELIMANE,CS 24 de Julho,CeP2ONGsGWS,-17.87566,36.88079
CIDADE DE QUELIMANE,Privado Saúde Boa Esperança,EjVl1qW4fVY,,
CIDADE DE QUELIMANE,PS Militar,puRehezKAVm,,
CIDADE DE QUELIMANE,CS Esta√ß√£o Malanha,IfOURzQKfjq,-17.79113,37.15401
CIDADE DE QUELIMANE,CS Ionge,xW0d1FlqTzR,-17.70033,37.11306
CIDADE DE QUELIMANE,CS 4 de Dezembro,tsVToXeQi6c,-17.8804,36.89172
CIDADE DE QUELIMANE,CS Inhangulue,wqozbEGwiip,-17.93574,36.94314
CIDADE DE QUELIMANE,PS Marrongane,lZb6EWul188,,
CIDADE DE QUELIMANE,CS 17 De Setembro,gn7b9tGF4fB,,
CIDADE DE QUELIMANE,PS Zalala Mar,uTaIppByr7U,,
CIDADE DE QUELIMANE,CS Coalane,xuXddFwLwM4,-17.86107,36.90774
CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,-17.81737,36.95693
CIDADE DE QUELIMANE,CS Sangarivera,hxqJ30hz6JQ,-17.86778,36.92341
CIDADE DE QUELIMANE,CS Varela,HamTWd99DjM,-17.73094,37.0757
CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,-17.8823,36.8871
CIDADE DE QUELIMANE,CS Micajune,lPZ3nYBwnXN,-17.84643,36.9014
CIDADE DE QUELIMANE,CS Maquival-Rio,qgvEDUUuguh,-17.73094,37.0757
CIDADE DE QUELIMANE,Privado Centro Médico Santa Victória	,qJhidvrn9ME,,
CIDADE DE QUELIMANE,PS Cadeia Civil,ZA5JlOtJ60w,-17.87902,36.88867
CIDADE DE QUELIMANE,CS Madal,MssEnEO8wfN,-17.93995,36.98234
CIDADE DE QUELIMANE,CS Maquival Sede,bYB2JfLO8Rp,-17.77851,37.05851
CIDADE DE QUELIMANE,CS Icidua,vNPX0WKa05v,-17.88703,36.91577
CIDADE DE QUELIMANE,CS Idugo,kfgaF0CXOjH,,
CIDADE DE QUELIMANE,CS Saude Santo Egidio,Gcv44k8eBFR,-17.8604,36.89547
